commit_sha,refactoring_type,instance_count,is_self_affirmed
01929b3fab4f1e2f35d8c85073b9498249908c02,Add Parameter,1,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Change Method Access Modifier,1,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Localize Parameter,4,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Merge Parameter,1,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Move And Rename Method,2,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Move Attribute,3,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Remove Class Annotation,1,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Remove Parameter,4,True
01989dd3b407b9c5c415559528b856557e7a284b,Add Parameter,2,False
019ab8487ac60497ed685c5aaca98d8cea57b6fb,Add Parameter,1,False
01a99878d1ed093e84cb9c3cd1184d19825fb83e,Add Parameter,2,False
01ac03cbc7e15ce9993c1072525101e95099f0fe,Add Parameter,1,False
01b5ea155f8d9e0d32686bd34124321a2117c1a3,Move Code,1,True
01b5ea155f8d9e0d32686bd34124321a2117c1a3,Rename Variable,1,True
01bd343b342ce6a3f204e193102fdb5cf6250bd5,Extract Variable,4,False
01bd343b342ce6a3f204e193102fdb5cf6250bd5,Rename Method,1,False
01bdaf7fd1ebca2de37cc7da5ae223c70d4f9aa9,Extract Variable,2,False
01cda23c3d4dfc67687c97518cffa24886bd9158,Add Parameter,2,False
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,Add Class Annotation,2,False
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,Change Return Type,1,False
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,Remove Method Annotation,1,False
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,Rename Method,1,False
01d95af3785cdb0624fc5e846df5fc24bdd6202a,Extract Method,1,False
01e91227002fa51432355f94c696ae1da9b30236,Change Return Type,1,False
01e91227002fa51432355f94c696ae1da9b30236,Encapsulate Attribute,2,False
01e91227002fa51432355f94c696ae1da9b30236,Remove Parameter,2,False
01e91227002fa51432355f94c696ae1da9b30236,Rename Method,2,False
01ee38ef62b0bd27299373e75d8d515b11967008,Extract Variable,89,False
01ee38ef62b0bd27299373e75d8d515b11967008,Inline Variable,83,False
01f2a80289594792bc67b5659d64eabcd81e42ad,Add Parameter,1,False
01f710145174661a1067bb9c61d5cc864e22601d,Add Method Annotation,1,False
02078a9b58868b9e70f293fb02fd0d2eebf91022,Add Class Annotation,3,False
02078a9b58868b9e70f293fb02fd0d2eebf91022,Add Parameter,2,False
02078a9b58868b9e70f293fb02fd0d2eebf91022,Change Method Access Modifier,1,False
02078a9b58868b9e70f293fb02fd0d2eebf91022,Change Variable Type,1,False
02078a9b58868b9e70f293fb02fd0d2eebf91022,Encapsulate Attribute,1,False
02078a9b58868b9e70f293fb02fd0d2eebf91022,Extract Method,3,False
02078a9b58868b9e70f293fb02fd0d2eebf91022,Extract Variable,1,False
02078a9b58868b9e70f293fb02fd0d2eebf91022,Move Class,1,False
02078a9b58868b9e70f293fb02fd0d2eebf91022,Remove Class Annotation,2,False
02078a9b58868b9e70f293fb02fd0d2eebf91022,Remove Thrown Exception Type,1,False
02078a9b58868b9e70f293fb02fd0d2eebf91022,Rename Method,1,False
02078a9b58868b9e70f293fb02fd0d2eebf91022,Replace Variable With Attribute,1,False
0207905ccea44ad0abfa791749611fc7927578df,Add Parameter,1,False
0207905ccea44ad0abfa791749611fc7927578df,Modify Class Annotation,1,False
0207905ccea44ad0abfa791749611fc7927578df,Modify Method Annotation,1,False
02128fc557b1bccc37248fa271166d43d05dbee1,Move Class,1,False
021509f197106247567dbce8e5fe1f569e1188d7,Try With Resources,3,False
0218f6ccfc4d5662b8bfaa6f50fe8aa3b21030b9,Remove Attribute Annotation,1,False
021ff5539e9f485f1f5df3f833873a836429942a,Remove Class Annotation,1,True
02233fe02d0845c4a9293785467f7819089d3f5e,Change Parameter Type,5,False
02233fe02d0845c4a9293785467f7819089d3f5e,Change Return Type,1,False
02233fe02d0845c4a9293785467f7819089d3f5e,Change Variable Type,1,False
02233fe02d0845c4a9293785467f7819089d3f5e,Rename Variable,1,False
0228a33d80d197b697565f88c640bb15efbda4fd,Add Attribute Modifier,2,False
0228a33d80d197b697565f88c640bb15efbda4fd,Add Class Annotation,11,False
0228a33d80d197b697565f88c640bb15efbda4fd,Add Class Modifier,1,False
0228a33d80d197b697565f88c640bb15efbda4fd,Add Method Annotation,10,False
0228a33d80d197b697565f88c640bb15efbda4fd,Add Parameter Modifier,31,False
0228a33d80d197b697565f88c640bb15efbda4fd,Add Variable Modifier,11,False
0228a33d80d197b697565f88c640bb15efbda4fd,Change Class Access Modifier,1,False
0228a33d80d197b697565f88c640bb15efbda4fd,Change Method Access Modifier,7,False
0228a33d80d197b697565f88c640bb15efbda4fd,Change Return Type,1,False
0228a33d80d197b697565f88c640bb15efbda4fd,Change Type Declaration Kind,1,False
0228a33d80d197b697565f88c640bb15efbda4fd,Extract And Move Method,1,False
0228a33d80d197b697565f88c640bb15efbda4fd,Extract Method,2,False
0228a33d80d197b697565f88c640bb15efbda4fd,Extract Subclass,1,False
0228a33d80d197b697565f88c640bb15efbda4fd,Extract Superclass,1,False
0228a33d80d197b697565f88c640bb15efbda4fd,Extract Variable,2,False
0228a33d80d197b697565f88c640bb15efbda4fd,Inline Variable,1,False
0228a33d80d197b697565f88c640bb15efbda4fd,Push Down Attribute,5,False
0228a33d80d197b697565f88c640bb15efbda4fd,Push Down Method,12,False
0228a33d80d197b697565f88c640bb15efbda4fd,Rename Attribute,6,False
0228a33d80d197b697565f88c640bb15efbda4fd,Rename Parameter,1,False
0228a33d80d197b697565f88c640bb15efbda4fd,Rename Variable,1,False
022b8a6de9a8ca8f2e96ba8ddb43a2f042e5eeb7,Rename Variable,1,False
022e9a30b0907e0ab2382aad177ec1ebff5d3787,Add Class Annotation,5,False
0230b03bfa151b141ef57aefae80013b08f40cc0,Add Parameter,1,False
0230b03bfa151b141ef57aefae80013b08f40cc0,Extract Variable,1,False
02590c6a929084e5d412e91d301f4f845e4cf653,Add Class Annotation,2,False
02590c6a929084e5d412e91d301f4f845e4cf653,Change Variable Type,1,False
02592f96fc65fb666a62de046aea2ed39baea3b1,Extract Variable,1,False
0259e65ad6ac485393c20d15bd7ff10683fb44a1,Change Variable Type,1,False
0259e65ad6ac485393c20d15bd7ff10683fb44a1,Extract Method,1,False
0259e65ad6ac485393c20d15bd7ff10683fb44a1,Move And Rename Class,1,False
0259e65ad6ac485393c20d15bd7ff10683fb44a1,Move Class,12,False
026138a16f307e6876f7e6faa433a920c7c46b98,Change Attribute Access Modifier,2,True
026138a16f307e6876f7e6faa433a920c7c46b98,Extract Class,1,True
026138a16f307e6876f7e6faa433a920c7c46b98,Extract Method,9,True
026138a16f307e6876f7e6faa433a920c7c46b98,Inline Variable,1,True
026138a16f307e6876f7e6faa433a920c7c46b98,Move And Rename Method,1,True
026138a16f307e6876f7e6faa433a920c7c46b98,Move Attribute,2,True
026708898d593efdbbde2e50665431bf0ad051c5,Change Attribute Type,1,False
026e0baa0b67e44cc2b8167d895d3991de77663c,Change Parameter Type,1,False
026e0baa0b67e44cc2b8167d895d3991de77663c,Change Variable Type,4,False
026e0baa0b67e44cc2b8167d895d3991de77663c,Remove Method Annotation,2,False
026e0baa0b67e44cc2b8167d895d3991de77663c,Rename Parameter,1,False
02751711529bc8d6599bdc420f34ced38580435b,Extract Variable,1,False
