metric_category,metric_name,motivation_label,observation_count,unique_commit_count,median_delta,mean_delta,q1_delta,q3_delta,improvement_rate,worsening_rate
design_smell,Deficient Encapsulation,maintainability,1018,1018,0.0,-2.0481335952848725,0.0,0.0,0.0068762278978389,0.0206286836935167
design_smell,Deficient Encapsulation,readability,1096,1096,0.0,0.013686131386861315,0.0,0.0,0.002737226277372263,0.01551094890510949
design_smell,Deficient Encapsulation,repurpose_reuse,89,89,0.0,0.056179775280898875,0.0,0.0,0.0,0.02247191011235955
design_smell,Deficient Encapsulation,slow_performance,45,45,0.0,0.06666666666666667,0.0,0.0,0.0,0.022222222222222223
design_smell,Deficient Encapsulation,testability,97,97,0.0,-0.5876288659793815,0.0,0.0,0.020618556701030927,0.0
design_smell,Hub-like Modularization,dependency,59,59,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,duplication,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,hard_to_debug,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,legacy_code,47,47,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,logical_mismatch,443,443,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,maintainability,1018,1018,0.0,-0.0618860510805501,0.0,0.0,0.0029469548133595285,0.0
design_smell,Hub-like Modularization,readability,1096,1096,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,repurpose_reuse,89,89,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,slow_performance,45,45,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,testability,97,97,0.0,-0.010309278350515464,0.0,0.0,0.010309278350515464,0.0
design_smell,Imperative Abstraction,dependency,59,59,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Imperative Abstraction,duplication,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Imperative Abstraction,hard_to_debug,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Imperative Abstraction,legacy_code,47,47,0.0,0.02127659574468085,0.0,0.0,0.0,0.02127659574468085
design_smell,Imperative Abstraction,logical_mismatch,443,443,0.0,0.0,0.0,0.0,0.002257336343115124,0.002257336343115124
design_smell,Imperative Abstraction,maintainability,1018,1018,0.0,-0.009823182711198428,0.0,0.0,0.003929273084479371,0.008840864440078585
design_smell,Imperative Abstraction,readability,1096,1096,0.0,0.0009124087591240876,0.0,0.0,0.004562043795620438,0.005474452554744526
design_smell,Imperative Abstraction,repurpose_reuse,89,89,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Imperative Abstraction,slow_performance,45,45,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Imperative Abstraction,testability,97,97,0.0,-0.061855670103092786,0.0,0.0,0.010309278350515464,0.0
design_smell,Insufficient Modularization,dependency,59,59,0.0,0.06779661016949153,0.0,0.0,0.0,0.01694915254237288
design_smell,Insufficient Modularization,duplication,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Insufficient Modularization,hard_to_debug,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Insufficient Modularization,legacy_code,47,47,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Insufficient Modularization,logical_mismatch,443,443,0.0,0.009029345372460496,0.0,0.0,0.0,0.006772009029345372
design_smell,Insufficient Modularization,maintainability,1018,1018,0.0,-1.2907662082514735,0.0,0.0,0.008840864440078585,0.025540275049115914
design_smell,Insufficient Modularization,readability,1096,1096,0.0,0.009124087591240875,0.0,0.0,0.0018248175182481751,0.010948905109489052
design_smell,Insufficient Modularization,repurpose_reuse,89,89,0.0,0.011235955056179775,0.0,0.0,0.0,0.011235955056179775
design_smell,Insufficient Modularization,slow_performance,45,45,0.0,0.044444444444444446,0.0,0.0,0.0,0.044444444444444446
design_smell,Insufficient Modularization,testability,97,97,0.0,-0.5670103092783505,0.0,0.0,0.020618556701030927,0.0
design_smell,Missing Hierarchy,dependency,59,59,0.0,0.1016949152542373,0.0,0.0,0.0,0.01694915254237288
design_smell,Missing Hierarchy,duplication,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Missing Hierarchy,hard_to_debug,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Missing Hierarchy,legacy_code,47,47,0.0,0.0,0.0,0.0,0.0,0.0
