metric,commit_count,delta_mean,delta_median,delta_std,delta_min,delta_max,improvement_rate_mean_pct,improvement_rate_median_pct,improvement_rate_std_pct,improved_commits,regressed_commits,unchanged_commits,improved_share_pct,regressed_share_pct,unchanged_share_pct
DIT,1541,-19.142115509409475,0.0,753.3978114234204,-29575.0,12.0,3.06781045751634,0.0,37.19761282858409,12,8,1521,0.7787151200519143,0.5191434133679429,98.70214146658014
FANIN,1541,0.063595068137573,0.0,3.542668273443616,-75.0,26.0,-6.115526683206921,0.0,63.88042940008962,107,136,1298,6.943543153796236,8.82543802725503,84.23101881894873
FANOUT,1541,0.11486048020765736,0.0,2.713921504358644,-79.0,24.0,-5.844380227622688,0.0,49.880823251516745,134,189,1218,8.695652173913043,12.264763140817651,79.0395846852693
LCOM,1541,0.028291296077769524,0.0,1.2856209388512663,-27.8,22.81038961038961,19.293686030455532,0.0,300.3656318307422,105,71,1365,6.81375730045425,4.6073977936404935,88.57884490590526
LOC,1541,-1.3698896820246593,0.0,75.01254943874066,-929.0,1329.0,-43.58120579026599,0.0,300.2460251201341,319,476,746,20.700843608046725,30.889033095392605,48.41012329656068
NOF,1541,0.043478260869565216,0.0,4.496902754936087,-74.0,64.0,-12.260748516007153,0.0,201.57857405478376,163,177,1201,10.577547047371837,11.486048020765736,77.93640493186243
NOM,1541,0.2582738481505516,0.0,14.752266103900213,-234.0,367.0,-13.568528654734633,0.0,80.82040167481695,200,268,1073,12.978585334198572,17.391304347826086,69.63011031797534
WMC,1541,-0.0006489292667099286,0.0,17.763324966467614,-234.0,450.0,-16.951068727207346,0.0,105.08233536192311,231,298,1012,14.990266060999351,19.338092147955873,65.67164179104478
