commit_sha,before_value,after_value,improvement_rate_pct
0a5867b9d35dbb7de981f1478b7553468ce07fa9,721.0,721.0,0.0
0a6ff80f102130549ab02187c2171c7c6aad1d91,217.0,217.0,0.0
0aaccad62b17de7042f291762fc36c43078814aa,606.0,606.0,0.0
0ad2a305d923156e690832af78143e5ae57e2648,5.0,5.0,0.0
0b6fa9ff48b89e11e9bdce2f9ced56d280de8f02,7.0,7.0,0.0
0bbd7109ecd924f85b2ef59b1e397c149a62f1a8,1695.0,1695.0,0.0
0c39d07f1d847d17cf924cf7a8b41c9c2009eb0c,212.0,211.0,0.4716981132075472
0c43d77ed315d46d34eb43add654adf8977148da,433.0,432.0,0.23094688221709006
0c4ebe1b2d5d0ed1bb7ea972a31095b7b83dc7d6,332.0,332.0,0.0
0c9c7cf77038a0031f84a7cb74cd83c7a11f5d98,1215.0,1215.0,0.0
0cdb1aed062f7614678e78c4cb4fbe4b9763019c,42.0,42.0,0.0
0cfc3ee9c827fa70ced17357b2c4994532e4e5e0,217.0,217.0,0.0
0d27f23ebf2a3fb927fb2df8dd02bb6de008b3b7,721.0,721.0,0.0
0d389cca63f1c60ea25295c2ce25fe5f5cce4f1a,413.0,413.0,0.0
0d56700c9f942ca403c558e89d0ab9ee591f4ca1,234.0,234.0,0.0
0d714ad6e3e7c5907c6f17535a55275132b51f7c,9184.0,0.0,100.0
0e1a6438d8df674f6d419ad106f92f744a2cdbbb,253.0,253.0,0.0
0e1d4756c2b10962e1760304c28bb578655301d0,8.0,8.0,0.0
0e1f8ccd3c2f37cbac1e2a75824333fd0322bd1d,721.0,721.0,0.0
0e5e88b78e0841ee101978543e15ed590b92dc1f,218.0,218.0,0.0
0e79a114b26d7b4c2e0c11dbc50be55762d5c716,40.0,42.0,-5.0
0e96be8e11654833c702cf0b50cfced1f21cd379,26.0,26.0,0.0
0f419c2467849e003b91401ae947a39f0260208a,298.0,298.0,0.0
0f5bfcc424da1bc15e29fcaca89f8f54b238f4ff,143.0,143.0,0.0
0f5f6c86c550fc22e1f7f01ae79a23e1aebd90a7,1.0,2.0,-100.0
0f8e57c745977dbe46d6ed6286b2422ae6cea15f,10.0,10.0,0.0
0fc3bda42c0f9f66147eb182177dfd601844ab77,46.0,46.0,0.0
0fc837c57f7fe1ca27e0fdf064f1dd2896816435,374.0,374.0,0.0
0fe19b9747832bfb618bf1f06831d7df27bc2998,300.0,301.0,-0.33333333333333337
102026e551009a54707f6849efaa7b4cb830b289,106.0,106.0,0.0
102953c1ea9ba1a0a52b2084f474ea2b3460c979,4.0,4.0,0.0
10492f356008a5755dabff8caf46ce2be9444aee,23.0,23.0,0.0
10ecfe57e496b7ec6c04c6098548bc1dfe71063d,371.0,371.0,0.0
1118d66453425aeae6a526150c4a6100ad652a16,6.0,6.0,0.0
11264bdca7b81933808e83eec069bc59f877e900,171.0,171.0,0.0
1126c09385286f6398568f32f58ffb7bddfd186b,236.0,238.0,-0.847457627118644
11298f82ef5d3e71ab4033176de29e3d53af5792,8.0,8.0,0.0
113889c2ce0a2f0a6365cd48400457fca5982d4e,42.0,42.0,0.0
115474f9a46fc3e1b8985253c397e5b45af66164,3.0,4.0,-33.33333333333333
115ee39157f2725089a629ecffbebe78ac4ed0b5,3700.0,3700.0,0.0
117e69908ca5420b578549e97438631b9d744643,7.0,7.0,0.0
11c7041444955662cebc0e8906c8a0fa65754600,3.0,4.0,-33.33333333333333
11d7a64fa874d6b6f1e04c7fae96dd0c7cebab05,229.0,230.0,-0.43668122270742354
11f5c8e8725e47f0ed3448472082164b31b57598,300.0,300.0,0.0
122f93f8c1371a8e3e989c90712b062047d863ee,1103.0,1103.0,0.0
1248afe23137fc85932405a05a4577d348817ff7,450.0,450.0,0.0
12c88e5eeb5cb3447cedce4a742f0211d84ec7e1,22.0,22.0,0.0
130fc0545a42dc00ceb81ad12f586d4af1e9880f,19.0,19.0,0.0
1341e5cf45c6d7a2274e13809b929deb64be78fe,23.0,23.0,0.0
134cc5ca88129cd54e2b1eb07364d12f1d91003c,721.0,721.0,0.0
1362724de33217f62e9fe674f9955e9afcdc3653,721.0,721.0,0.0
1388d8f03c45549c4be3d22fec256032d36b8f5a,91.0,91.0,0.0
139f9f7755ffdaaeee0c31d1c4a5f2834d6804c4,5.0,5.0,0.0
13d4bd4be33ad133e8f6bf93007b6e520302ba60,1.0,1.0,0.0
13db43e6aafdfd28b5b7fc14d98f7aed8fd317ae,773.0,773.0,0.0
1407e9e0281254100a4988b6626930ede1a2e0c2,99.0,102.0,-3.0303030303030303
140f9c4ecb5fbf34b6f3e68c56418d64a9b7ec13,8.0,8.0,0.0
14315a89632374241b86a9b491d7e04ef6984e1d,29.0,29.0,0.0
