metric,commit_count,delta_mean,delta_median,delta_std,delta_min,delta_max,improvement_rate_mean_pct,improvement_rate_median_pct,improvement_rate_std_pct,improved_commits,regressed_commits,unchanged_commits,improved_share_pct,regressed_share_pct,unchanged_share_pct
DIT,766,-38.577023498694516,0.0,1068.5895235667526,-29575.0,4.0,2.8205128205128207,0.0,35.268816876802724,6,4,756,0.7832898172323759,0.5221932114882507,98.69451697127938
FANIN,766,0.04177545691906005,0.0,4.117976402808746,-75.0,26.0,-5.606750914922639,0.0,52.08459980685099,59,71,636,7.702349869451696,9.26892950391645,83.02872062663185
FANOUT,766,-0.018276762402088774,0.0,3.365675281197793,-79.0,24.0,-3.666189904320523,0.0,37.49742427771444,70,90,606,9.138381201044385,11.74934725848564,79.11227154046998
LCOM,766,-0.009331512425469512,0.0,1.2000286950436854,-27.8,10.900741578682755,17.058850529248154,0.0,403.6087731183961,57,45,664,7.441253263707572,5.87467362924282,86.68407310704961
LOC,766,-2.6161879895561357,0.0,80.60306323562351,-700.0,1329.0,-36.34917760393787,0.0,329.5344413357328,163,230,373,21.279373368146214,30.026109660574413,48.69451697127937
NOF,766,-0.03263707571801567,0.0,4.375837409769842,-74.0,30.0,-8.30356319236463,0.0,83.55315264105494,86,92,588,11.22715404699739,12.010443864229766,76.76240208877284
NOM,766,0.24281984334203655,0.0,16.536149171548686,-234.0,367.0,-10.9547457439508,0.0,75.54109166555938,116,128,522,15.143603133159269,16.710182767624023,68.1462140992167
WMC,766,-0.46866840731070497,0.0,20.579282304913537,-234.0,450.0,-13.2499877188603,0.0,104.4036760342018,127,145,494,16.57963446475196,18.929503916449086,64.49086161879896
