commit_sha,before_value,after_value,improvement_rate_pct
072a6c10262d3c520dd6538f5c025e3cdfc1d9cf,14.0,14.0,0.0
074dad48142f7037a714296611df9c1c5ede3fff,171.0,185.0,-8.187134502923977
077e9ad8514eaa50d4e3ea556e4103054950070e,11.0,11.0,0.0
0781fcc944a47648135ed5282fe990ad1cb2e914,394.0,394.0,0.0
07922c79aa0469f23d2252b457f3ebcf8e170993,25.0,25.0,0.0
079238c8c0a9bd337cae8e25db4e885ed423cff6,1069.0,1069.0,0.0
07a619537bcf239277f5282d8e3409326300aa41,4.0,6.0,-50.0
07b8a69e678728a9224e7c86ce8ef8ba1d5c95f5,84.0,84.0,0.0
07c51b5c1b7e8453ddb65f191709982059709e4a,331.0,331.0,0.0
07d3da40d17cd7ea92db2916f7e19a1a2febac72,1737.0,1738.0,-0.05757052389176742
07d7d31a236e0530f5bfe249201e11a6b852020d,83.0,84.0,-1.2048192771084338
08400df52dd86991898ff95977a604c776bef2fc,2.0,3.0,-50.0
085f41a5567ccef1f4d1e9a510f3e06724cf3c1a,6.0,7.0,-16.666666666666664
0880b5e7bed23cf91ca5d76555f76a4e46efd33e,594.0,594.0,0.0
0882a72f4f22edabf8ecb912006a4e4751b2af26,1215.0,1215.0,0.0
0882f1b43648cfd76468bafd624d28f7941b2354,27.0,27.0,0.0
0883ff16cd74c00eeea3c4dbd383c49e3e383142,53.0,56.0,-5.660377358490567
088b2ec55d87200a6e27ccf8bc711923db1c3ad6,43.0,43.0,0.0
0892e9c0495fe65aa112fc48506c0c1e0c436297,78.0,78.0,0.0
08a01274da4d38e8dec133156d2b443b28d374c3,31.0,32.0,-3.225806451612903
08c94fbf740704688f1e2a77050b6b970de6abbc,35.0,36.0,-2.857142857142857
08d6a7d9e676437f18ec85354c8a2b950d31a776,7.0,7.0,0.0
08f6576d5f7004adb1c9637e7c584b62f1b084fa,63.0,63.0,0.0
091e6a72ab68762d3d4d9d8fd9d56819afb9235b,23.0,23.0,0.0
09457f99667b785ba06cc8fa8e2833a9fea28a3f,84.0,84.0,0.0
09544a053b2d0b5fa295e33338415216b7d0a289,219.0,218.0,0.45662100456621
097e36fa8122ff004c1f3a37eefa0e487166da60,15.0,15.0,0.0
0990ccdf0b10e00772edfee7c0a6313619dda3b4,48.0,48.0,0.0
099752fb4197d80858531f8a57a8ef7932bcac3e,16.0,16.0,0.0
09ac62c88cf884244731ebd6fd1ef9069161af19,218.0,218.0,0.0
09ae4e5dc6ac4edd0bb1e155aff62441fb82e62e,28.0,38.0,-35.714285714285715
09c930ee556ea1688e3dd2c09cf4ae7519df24ef,146.0,146.0,0.0
09d14a3c271981a2dc3e3bb5ba034284ca549bfa,60.0,60.0,0.0
09e2221a5f14f3ba67518bb7b7a933482763cced,15.0,15.0,0.0
09e4cb4e0ea4ab8f6dfa2d3d74d6533195298b50,3.0,3.0,0.0
0a1f15e15d33b8e7ca9a4cd93bac1fabc65255a6,151.0,151.0,0.0
0a328cacdda0d9c31026b6362417c5a971c841ba,388.0,388.0,0.0
0a5867b9d35dbb7de981f1478b7553468ce07fa9,721.0,721.0,0.0
0a6ff80f102130549ab02187c2171c7c6aad1d91,217.0,217.0,0.0
0aa9347c262d28a95f4c0b57e9ec8f52f095329c,56.0,56.0,0.0
0aaccad62b17de7042f291762fc36c43078814aa,606.0,606.0,0.0
0ad2a305d923156e690832af78143e5ae57e2648,5.0,5.0,0.0
0b070712b751da33c8fd45f82a42886d1b47742c,14.0,16.0,-14.285714285714285
0b20aeadd58b0c8d8e8b6a599c0078b94f631a64,43.0,44.0,-2.3255813953488373
0b262f237af949cffb2afb48e1ba6df56f1a9c53,4.0,4.0,0.0
0b2c3f6ca9810ae2f6db936d8124682e7af774d0,2105.0,2105.0,0.0
