commit_sha,metric,before_total,after_total,delta_total,observation_count,improvement_rate_pct
01989dd3b407b9c5c415559528b856557e7a284b,PC,15.0,17.0,2.0,2,-13.333333333333334
019ab8487ac60497ed685c5aaca98d8cea57b6fb,CC,1.0,1.0,0.0,1,0.0
019ab8487ac60497ed685c5aaca98d8cea57b6fb,LOC,5.0,6.0,1.0,1,-20.0
019ab8487ac60497ed685c5aaca98d8cea57b6fb,PC,2.0,3.0,1.0,1,-50.0
01a99878d1ed093e84cb9c3cd1184d19825fb83e,CC,2.0,2.0,0.0,2,0.0
01a99878d1ed093e84cb9c3cd1184d19825fb83e,LOC,23.0,25.0,2.0,2,-8.695652173913043
01a99878d1ed093e84cb9c3cd1184d19825fb83e,PC,5.0,7.0,2.0,2,-40.0
01ac03cbc7e15ce9993c1072525101e95099f0fe,CC,1.0,1.0,0.0,1,0.0
01ac03cbc7e15ce9993c1072525101e95099f0fe,LOC,3.0,4.0,1.0,1,-33.33333333333333
01ac03cbc7e15ce9993c1072525101e95099f0fe,PC,1.0,2.0,1.0,1,-100.0
01b5ea155f8d9e0d32686bd34124321a2117c1a3,CC,10.0,1.0,-9.0,1,90.0
01b5ea155f8d9e0d32686bd34124321a2117c1a3,LOC,160.0,3.0,-157.0,1,98.125
01b5ea155f8d9e0d32686bd34124321a2117c1a3,PC,0.0,0.0,0.0,1,
01bd343b342ce6a3f204e193102fdb5cf6250bd5,CC,3.0,4.0,1.0,1,-33.33333333333333
01bd343b342ce6a3f204e193102fdb5cf6250bd5,LOC,23.0,38.0,15.0,1,-65.21739130434783
01bd343b342ce6a3f204e193102fdb5cf6250bd5,PC,0.0,0.0,0.0,1,
01cda23c3d4dfc67687c97518cffa24886bd9158,CC,2.0,2.0,0.0,2,0.0
01cda23c3d4dfc67687c97518cffa24886bd9158,LOC,6.0,6.0,0.0,2,0.0
01cda23c3d4dfc67687c97518cffa24886bd9158,PC,34.0,36.0,2.0,2,-5.88235294117647
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,CC,1.0,1.0,0.0,1,0.0
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,LOC,0.0,0.0,0.0,1,
