metric,commit_count,delta_mean,delta_median,delta_std,delta_min,delta_max,improvement_rate_mean_pct,improvement_rate_median_pct,improvement_rate_std_pct,improved_commits,regressed_commits,unchanged_commits,improved_share_pct,regressed_share_pct,unchanged_share_pct
CC,1915,-2.331070496083551,0.0,17.98792264781117,-435.0,127.0,-4.775089153280799,0.0,45.752759570005736,385,344,1186,20.10443864229765,17.96344647519582,61.932114882506525
LOC,1915,-15.663185378590079,0.0,93.06868104309838,-1675.0,374.0,-6.696538996510368,0.0,50.22124635480664,558,715,642,29.13838120104439,37.33681462140992,33.52480417754569
PC,1915,0.44281984334203656,0.0,3.4668521953845404,-63.0,64.0,-20.13674288216086,0.0,56.55334795770152,225,626,1064,11.74934725848564,32.68929503916449,55.561357702349866
