entity_kind,refactoring_type,metric,count,mean,median,std,min,max
method,Encapsulate Attribute,CC,17,0.0,0.0,0.0,0.0,0.0
method,Encapsulate Attribute,LOC,17,0.11764705882352941,0.0,0.781213234429025,-1.0,3.0
method,Encapsulate Attribute,PC,17,-0.058823529411764705,0.0,0.24253562503633297,-1.0,0.0
method,Extract And Move Method,CC,1409,-2.226401703335699,0.0,8.427025394553622,-209.0,10.0
method,Extract And Move Method,LOC,1409,-13.088005677785663,-3.0,31.562450352075654,-389.0,28.0
method,Extract And Move Method,PC,1409,-0.08658623136976579,0.0,1.0849684745409842,-19.0,6.0
method,Extract Class,CC,254,-0.39763779527559057,0.0,2.742462600893776,-28.0,7.0
method,Extract Class,LOC,254,-1.1929133858267718,0.0,14.454719710648728,-114.0,62.0
method,Extract Class,PC,254,-0.2204724409448819,0.0,1.3769037030736364,-6.0,6.0
method,Extract Method,CC,1773,-1.709531866892273,0.0,6.120194199375064,-85.0,12.0
method,Extract Method,LOC,1773,-12.478849407783418,-3.0,32.35675548882222,-461.0,60.0
method,Extract Method,PC,1773,0.1455160744500846,0.0,1.1940543196521012,-7.0,6.0
method,Extract Subclass,CC,75,-0.013333333333333334,0.0,1.3405659689538285,-3.0,4.0
method,Extract Subclass,LOC,75,-0.49333333333333335,0.0,8.522424051390058,-24.0,26.0
method,Extract Subclass,PC,75,-0.2,0.0,1.2192155209340498,-3.0,5.0
method,Inline Method,CC,119,1.4873949579831933,0.0,4.04606011797643,-6.0,22.0
method,Inline Method,LOC,119,9.798319327731093,2.0,22.38400603031017,-25.0,110.0
method,Inline Method,PC,119,-0.20168067226890757,0.0,1.4933742474438076,-8.0,3.0
method,Invert Condition,CC,112,0.16071428571428573,0.0,4.211852797725009,-20.0,18.0
method,Invert Condition,LOC,112,-0.42857142857142855,0.0,18.890254070332112,-86.0,80.0
method,Invert Condition,PC,112,0.03571428571428571,0.0,0.5357250106176554,-3.0,2.0
method,Merge Catch,CC,3,0.3333333333333333,0.0,0.5773502691896258,0.0,1.0
method,Merge Catch,LOC,3,-2.3333333333333335,-3.0,1.1547005383792517,-3.0,-1.0
method,Merge Catch,PC,3,0.0,0.0,0.0,0.0,0.0
method,Merge Conditional,CC,45,-5.377777777777778,-1.0,13.796061507956287,-72.0,3.0
method,Merge Conditional,LOC,45,-25.4,-2.0,74.28795326296182,-428.0,14.0
method,Merge Conditional,PC,45,0.0,0.0,0.0,0.0,0.0
method,Merge Method,CC,5,0.0,0.0,0.0,0.0,0.0
method,Merge Method,LOC,5,2.4,2.0,0.5477225575051662,2.0,3.0
method,Merge Method,PC,5,0.0,0.0,0.0,0.0,0.0
method,Merge Parameter,CC,18,0.0,0.0,0.0,0.0,0.0
method,Merge Parameter,LOC,18,-0.2777777777777778,-0.5,1.8086574662067327,-3.0,5.0
method,Merge Parameter,PC,18,-1.6111111111111112,-1.0,0.8498365855987975,-4.0,-1.0
method,Merge Variable,CC,8,-1.25,-0.5,3.955105199973465,-9.0,3.0
method,Merge Variable,LOC,8,-9.5,-11.0,24.319304501333328,-45.0,21.0
method,Merge Variable,PC,8,0.0,0.0,0.0,0.0,0.0
method,Modify Method Annotation,CC,1552,0.023195876288659795,0.0,0.30803232396470565,-4.0,7.0
method,Modify Method Annotation,LOC,1552,0.3002577319587629,0.0,2.0246832575243214,-22.0,30.0
method,Modify Method Annotation,PC,1552,0.02577319587628866,0.0,0.19165214056178417,0.0,4.0
method,Modify Parameter Annotation,CC,90,0.05555555555555555,0.0,0.4334629595805616,-2.0,3.0
method,Modify Parameter Annotation,LOC,90,0.1111111111111111,0.0,2.0687316009946306,-17.0,5.0
method,Modify Parameter Annotation,PC,90,0.1111111111111111,0.0,0.4356177183085757,0.0,3.0
method,Move And Inline Method,CC,45,3.3555555555555556,0.0,11.4834971620455,-2.0,76.0
method,Move And Inline Method,LOC,45,14.622222222222222,0.0,57.21382894215543,-36.0,375.0
method,Move And Inline Method,PC,45,0.4888888888888889,0.0,1.1989052245168246,-2.0,4.0
method,Move And Rename Method,CC,130,0.09230769230769231,0.0,0.6523202933043314,-2.0,5.0
method,Move And Rename Method,LOC,130,-0.09230769230769231,0.0,4.766560123240607,-34.0,20.0
method,Move And Rename Method,PC,130,0.09230769230769231,0.0,0.9437362153305427,-6.0,4.0
method,Move Code,CC,74,0.5,0.0,2.348126621402046,-9.0,9.0
method,Move Code,LOC,74,1.635135135135135,1.0,22.678560465250197,-157.0,57.0
method,Move Code,PC,74,0.13513513513513514,0.0,0.9555078162777056,-3.0,5.0
method,Move Method,CC,543,0.27071823204419887,0.0,1.6055740198992594,-4.0,11.0
method,Move Method,LOC,543,0.08839779005524862,0.0,4.805393054656071,-23.0,77.0
method,Move Method,PC,543,0.009208103130755065,0.0,0.3514701844559854,-4.0,3.0
method,Parameterize Test,CC,7,0.0,0.0,0.0,0.0,0.0
method,Parameterize Test,LOC,7,-2.142857142857143,-2.0,0.6900655593423543,-3.0,-1.0
method,Parameterize Test,PC,7,2.7142857142857144,3.0,0.48795003647426655,2.0,3.0
method,Pull Up Method,CC,86,0.09302325581395349,0.0,0.36389743146836717,-1.0,2.0
method,Pull Up Method,LOC,86,0.3372093023255814,0.0,1.9858941688304552,-6.0,9.0
method,Pull Up Method,PC,86,0.0,0.0,0.4058397249567139,-2.0,2.0
method,Push Down Method,CC,182,-0.04945054945054945,0.0,0.3683241505271883,-3.0,1.0
method,Push Down Method,LOC,182,-0.26373626373626374,0.0,2.5221019245669267,-27.0,3.0
method,Push Down Method,PC,182,0.005494505494505495,0.0,0.0741249316661101,0.0,1.0
method,Remove Method Annotation,CC,549,-0.009107468123861567,0.0,0.42921261864741234,-6.0,3.0
method,Remove Method Annotation,LOC,549,-0.34972677595628415,0.0,4.795232665061592,-76.0,40.0
method,Remove Method Annotation,PC,549,0.08014571948998178,0.0,0.3266552132786468,-1.0,3.0
method,Remove Method Modifier,CC,105,-0.09523809523809523,0.0,1.213100046002687,-10.0,1.0
method,Remove Method Modifier,LOC,105,-0.8571428571428571,0.0,6.140077316333195,-44.0,8.0
method,Remove Method Modifier,PC,105,-0.0761904761904762,0.0,0.5996030432909838,-6.0,0.0
method,Remove Parameter,CC,402,-0.19154228855721392,0.0,0.7309530617669443,-4.0,4.0
method,Remove Parameter,LOC,402,-1.345771144278607,-1.0,3.881967330038273,-28.0,19.0
method,Remove Parameter,PC,402,-0.900497512437811,-1.0,0.8474987409748148,-6.0,3.0
method,Remove Parameter Annotation,CC,125,0.016,0.0,0.8228981044592221,-3.0,6.0
method,Remove Parameter Annotation,LOC,125,0.688,0.0,4.969935418545811,-9.0,31.0
method,Remove Parameter Annotation,PC,125,-0.136,0.0,0.7550261691683491,-4.0,2.0
method,Remove Parameter Modifier,CC,4,0.0,0.0,0.0,0.0,0.0
method,Remove Parameter Modifier,LOC,4,0.0,0.0,0.0,0.0,0.0
method,Remove Parameter Modifier,PC,4,0.0,0.0,0.0,0.0,0.0
method,Remove Thrown Exception Type,CC,136,0.022058823529411766,0.0,0.9226926117474987,-5.0,8.0
method,Remove Thrown Exception Type,LOC,136,1.2426470588235294,0.0,5.5704196577456075,-18.0,39.0
method,Remove Thrown Exception Type,PC,136,0.007352941176470588,0.0,0.08574929257125441,0.0,1.0
method,Remove Variable Annotation,CC,1,0.0,0.0,,0.0,0.0
method,Remove Variable Annotation,LOC,1,0.0,0.0,,0.0,0.0
method,Remove Variable Annotation,PC,1,0.0,0.0,,0.0,0.0
method,Remove Variable Modifier,CC,43,-1.1162790697674418,0.0,4.33814367983962,-26.0,4.0
method,Remove Variable Modifier,LOC,43,-8.837209302325581,0.0,26.731406740242694,-150.0,18.0
method,Remove Variable Modifier,PC,43,0.6511627906976745,0.0,1.2321819773268756,-1.0,6.0
method,Rename Method,CC,1588,-0.0025188916876574307,0.0,0.7937968089719144,-10.0,8.0
method,Rename Method,LOC,1588,-0.0743073047858942,0.0,5.046677629533172,-92.0,43.0
method,Rename Method,PC,1588,0.020780856423173802,0.0,0.43355931658119334,-5.0,4.0
method,Reorder Parameter,CC,11,0.9090909090909091,0.0,1.8140862964338522,0.0,6.0
method,Reorder Parameter,LOC,11,5.545454545454546,1.0,9.781243646527127,0.0,33.0
method,Reorder Parameter,PC,11,0.18181818181818182,0.0,0.40451991747794525,0.0,1.0
method,Replace Anonymous With Lambda,CC,24,-0.25,0.0,0.6079187588743288,-2.0,0.0
method,Replace Anonymous With Lambda,LOC,24,-5.375,-5.0,9.268049370306288,-25.0,27.0
method,Replace Anonymous With Lambda,PC,24,0.0,0.0,0.0,0.0,0.0
method,Replace Conditional With Ternary,CC,43,-1.2093023255813953,-1.0,3.3985861173286787,-17.0,6.0
method,Replace Conditional With Ternary,LOC,43,-4.27906976744186,-3.0,13.54942553938718,-46.0,25.0
method,Replace Conditional With Ternary,PC,43,0.09302325581395349,0.0,0.5261700561773909,-1.0,3.0
method,Replace Generic With Diamond,CC,37,0.21621621621621623,0.0,1.1816921749746827,-1.0,7.0
method,Replace Generic With Diamond,LOC,37,-3.027027027027027,0.0,15.585760036517817,-89.0,24.0
method,Replace Generic With Diamond,PC,37,0.10810810810810811,0.0,0.39326156010301166,0.0,2.0
method,Replace Loop With Pipeline,CC,26,-1.6538461538461537,-2.0,1.1293292767765366,-4.0,0.0
method,Replace Loop With Pipeline,LOC,26,-2.8846153846153846,-5.0,8.026590424716701,-12.0,30.0
method,Replace Loop With Pipeline,PC,26,0.3076923076923077,0.0,1.086985952778812,0.0,4.0
method,Replace Pipeline With Loop,CC,25,1.28,1.0,1.1,0.0,4.0
method,Replace Pipeline With Loop,LOC,25,4.16,3.0,8.234480351950975,-5.0,39.0
method,Replace Pipeline With Loop,PC,25,0.0,0.0,0.0,0.0,0.0
method,Split Conditional,CC,97,2.1030927835051547,2.0,4.154526988926443,-13.0,26.0
method,Split Conditional,LOC,97,8.45360824742268,8.0,17.064839960767223,-73.0,66.0
method,Split Conditional,PC,97,0.020618556701030927,0.0,0.14284180084530063,0.0,1.0
method,Split Method,CC,30,-0.16666666666666666,0.0,0.791477593876918,-4.0,1.0
method,Split Method,LOC,30,-0.7,1.0,4.6767952481484,-17.0,5.0
method,Split Method,PC,30,-0.03333333333333333,0.0,0.41384099339733366,-2.0,1.0
method,Split Parameter,CC,17,-0.11764705882352941,0.0,0.3321055820775357,-1.0,0.0
method,Split Parameter,LOC,17,0.23529411764705882,1.0,2.610780816267087,-6.0,4.0
method,Split Parameter,PC,17,1.411764705882353,1.0,1.227743027337753,0.0,4.0
method,Split Variable,CC,5,0.0,0.0,0.7071067811865476,-1.0,1.0
method,Split Variable,LOC,5,-1.2,1.0,5.06951674225463,-8.0,4.0
method,Split Variable,PC,5,0.0,0.0,0.0,0.0,0.0
method,Try With Resources,CC,98,-0.19387755102040816,0.0,1.0808374308201867,-8.0,4.0
method,Try With Resources,LOC,98,-3.663265306122449,-2.0,8.026944158696084,-54.0,17.0
method,Try With Resources,PC,98,0.02040816326530612,0.0,0.142118858106802,0.0,1.0
type,Add Class Annotation,DIT,1210,0.0,0.0,0.0,0.0,0.0
type,Add Class Annotation,FANIN,1210,0.13884297520661157,0.0,0.7448052133015711,-2.0,12.0
type,Add Class Annotation,FANOUT,1210,0.12396694214876033,0.0,0.8049705791610504,-16.0,10.0
type,Add Class Annotation,LCOM,1210,0.006996978539545618,0.0,0.4276736635991075,-1.6666666666666665,2.0
type,Add Class Annotation,LOC,1210,0.9305785123966942,0.0,27.149802982360857,-700.0,150.0
type,Add Class Annotation,NOF,1210,0.3396694214876033,0.0,1.3748887819577191,-2.0,19.0
type,Add Class Annotation,NOM,1210,-0.4090909090909091,0.0,7.732099313995446,-234.0,41.0
type,Add Class Annotation,WMC,1210,-0.2578512396694215,0.0,7.914323605026595,-234.0,41.0
type,Add Class Modifier,DIT,14,0.0,0.0,0.0,0.0,0.0
type,Add Class Modifier,FANIN,14,0.9285714285714286,1.0,0.9972489631508746,0.0,3.0
type,Add Class Modifier,FANOUT,14,0.8571428571428571,1.0,1.027105182026191,-1.0,3.0
type,Add Class Modifier,LCOM,14,0.22580423460542157,0.011570827489481045,0.8156819865687642,-1.0,1.6666666666666665
type,Add Class Modifier,LOC,14,24.5,13.5,28.966160628196157,-8.0,101.0
type,Add Class Modifier,NOF,14,3.357142857142857,1.0,8.723153477579459,-2.0,33.0
type,Add Class Modifier,NOM,14,5.214285714285714,3.0,6.375175067624194,-1.0,22.0
type,Add Class Modifier,WMC,14,9.928571428571429,4.0,18.808608036315082,-1.0,73.0
type,Change Class Access Modifier,DIT,98,0.0,0.0,0.0,0.0,0.0
type,Change Class Access Modifier,FANIN,98,0.04081632653061224,0.0,0.24530088181108184,0.0,2.0
type,Change Class Access Modifier,FANOUT,98,-0.12244897959183673,0.0,0.48194849625264435,-4.0,0.0
type,Change Class Access Modifier,LCOM,98,0.016011421290924394,0.0,0.21081098552869373,-1.5,1.0
type,Change Class Access Modifier,LOC,98,-0.46938775510204084,0.0,8.57856845485853,-76.0,24.0
type,Change Class Access Modifier,NOF,98,-0.29591836734693877,0.0,0.6293374633310385,-2.0,0.0
type,Change Class Access Modifier,NOM,98,0.1326530612244898,0.0,0.8925551772142577,-1.0,8.0
type,Change Class Access Modifier,WMC,98,0.10204081632653061,0.0,1.1259799481685617,-6.0,8.0
type,Change Return Type,DIT,12,0.0,0.0,0.0,0.0,0.0
type,Change Return Type,FANIN,12,-0.4166666666666667,0.0,5.160308893737649,-16.0,4.0
type,Change Return Type,FANOUT,12,0.25,0.0,1.3568010505999362,-2.0,4.0
