metric,Remove Parameter,Extract Subclass,Replace Loop With Pipeline,Merge Parameter,Split Class,Replace Conditional With Ternary,Merge Conditional,Split Method,Extract And Move Method,Remove Variable Modifier,Extract Method,Extract Class,Merge Variable,Replace Anonymous With Lambda,Try With Resources,Split Variable,Assert Throws,Extract Interface,Change Type Declaration Kind,Move And Inline Method,Move Code,Inline Method,Extract Superclass,Invert Condition,Remove Parameter Annotation,Move And Rename Method,Add Thrown Exception Type,Move Source Folder,Replace Generic With Diamond,Move And Rename Class,Remove Thrown Exception Type,Rename Class,Remove Class Annotation,Remove Class Modifier,Change Class Access Modifier,Add Class Modifier,Split Parameter,Merge Class,Replace Pipeline With Loop,Remove Method Modifier,Rename Method,Change Return Type,Move Method,Remove Method Annotation,Push Down Method,Modify Class Annotation,Modify Parameter Annotation,Split Conditional,Pull Up Method,Add Class Annotation,Add Parameter Annotation,Add Method Annotation,Add Variable Modifier,Move Class,Add Parameter,Change Method Access Modifier,Modify Method Annotation,Remove Variable Annotation,Reorder Parameter,Add Variable Annotation,Add Parameter Modifier,Change Thrown Exception Type,Move Package,Add Method Modifier,Remove Parameter Modifier
Class-Level Metric – Depth of Inheritance Tree*,,0.0,,,0.0,,,,,,,1.94174757281553,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,,1.48148148148148,0.70175438596491,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,1.42566191446028,,,,,,,,,0.0,,
Class-Level Metric – Fan-Out*,,50.0,,,0.0,,,,,,,21.35922330097087,,,,,,3.44827586206896,33.33333333333333,,,,7.69230769230769,,,,,28.57142857142857,,12.12121212121212,,8.14814814814814,15.087719298245611,11.11111111111111,10.58823529411764,12.5,,0.0,,,,14.28571428571428,,,,2.38095238095238,,,,1.15830115830115,,,,1.0183299389002,,,,,,,,,0.0,,
Class-Level Metric – Fan-In*,,50.0,,,40.0,,,,,,,11.6504854368932,,,,,,17.24137931034483,0.0,,,,11.53846153846153,,,,,0.0,,15.151515151515149,,8.14814814814814,1.75438596491228,22.22222222222222,0.0,0.0,,0.0,,,,14.28571428571428,,,,0.95238095238095,,,,0.77220077220077,,,,4.58248472505091,,,,,,,,,0.0,,
Class-Level Metric – Number of Methods*,,100.0,,,80.0,,,,,,,48.54368932038835,,,,,,37.93103448275862,33.33333333333333,,,,26.923076923076923,,,,,14.28571428571428,,12.12121212121212,,14.074074074074069,8.07017543859649,5.55555555555555,3.52941176470588,12.5,,0.0,,,,0.0,,,,2.38095238095238,,,,5.01930501930501,,,,0.10183299389002001,,,,,,,,,0.0,,
Class-Level Metric – Weighted Methods per Class*,,100.0,,,80.0,,,,,,,56.310679611650485,,,,,,37.93103448275862,33.33333333333333,,,,30.76923076923077,,,,,14.28571428571428,,12.12121212121212,,13.33333333333333,11.57894736842105,5.55555555555555,4.70588235294117,12.5,,0.0,,,,0.0,,,,7.14285714285714,,,,4.82625482625482,,,,0.20366598778004003,,,,,,,,,0.0,,
Class-Level Metric – Lines of Code*,,100.0,,,80.0,,,,,,,71.84466019417476,,,,,,37.93103448275862,33.33333333333333,,,,42.30769230769231,,,,,21.42857142857142,,15.151515151515149,,16.29629629629629,19.298245614035082,11.11111111111111,35.29411764705882,12.5,,50.0,,,,14.28571428571428,,,,7.6190476190476195,,,,6.94980694980695,,,,0.8146639511201601,,,,,,,,,0.0,,
Method-Level Metric – Parameter Count*,87.86407766990291,37.5,0.0,100.0,,3.84615384615384,0.0,14.28571428571428,13.0,3.44827586206896,14.079422382671481,41.23711340206185,0.0,0.0,0.0,0.0,0.0,,,7.14285714285714,13.88888888888889,12.72727272727272,,7.69230769230769,19.14893617021276,10.81081081081081,0.0,,0.0,,0.0,,,,,,0.0,,0.0,4.0,3.60610263522884,0.39840637450199,0.9876543209876499,0.28248587570621,0.0,,0.0,0.0,0.0,,0.0,0.49423393739703,0.0,,0.2919708029197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Method-Level Metric – Cyclomatic Complexity*,38.83495145631068,21.875,80.0,0.0,,69.23076923076923,70.0,42.85714285714285,42.55555555555556,48.275862068965516,39.891696750902526,23.19587628865979,40.0,25.0,15.0,25.0,0.0,,,7.14285714285714,11.11111111111111,16.36363636363636,,18.46153846153846,4.25531914893617,6.75675675675675,10.44776119402985,,5.88235294117647,,1.63934426229508,,,,,,12.5,,0.0,4.0,4.4382801664355,1.79282868525896,4.69135802469135,2.25988700564971,3.28947368421052,,5.0,4.0,0.0,,1.53846153846153,1.1532125205930799,0.0,,1.16788321167883,1.0869565217391302,0.57471264367816,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Method-Level Metric – Lines of Code*,64.56310679611651,42.1875,80.0,55.55555555555556,,65.38461538461539,65.0,71.42857142857143,59.333333333333336,62.06896551724138,58.93501805054152,40.20618556701031,60.0,75.0,72.5,50.0,70.0,,,50.0,36.11111111111111,30.909090909090907,,24.61538461538461,25.53191489361702,28.378378378378372,31.343283582089548,,29.411764705882348,,31.147540983606557,,,,,,12.5,,25.0,16.0,11.511789181692091,5.378486055776889,10.12345679012345,10.73446327683615,9.21052631578947,,5.0,6.0,10.0,,4.61538461538461,3.9538714991762705,5.0,,2.1897810218978098,1.81159420289855,1.72413793103448,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
