metric,Remove Parameter,Replace Loop With Pipeline,Merge Parameter,Merge Conditional,Replace Conditional With Ternary,Extract Subclass,Extract And Move Method,Extract Method,Merge Variable,Split Class,Replace Anonymous With Lambda,Merge Catch,Parameterize Test,Extract Class,Change Thrown Exception Type,Remove Variable Modifier,Try With Resources,Extract Superclass,Extract Interface,Split Variable,Inline Method,Move Code,Move And Inline Method,Invert Condition,Remove Parameter Annotation,Assert Throws,Split Method,Move And Rename Method,Merge Class,Change Type Declaration Kind,Move And Rename Class,Split Parameter,Move Source Folder,Rename Class,Replace Generic With Diamond,Remove Method Modifier,Remove Thrown Exception Type,Remove Class Modifier,Add Thrown Exception Type,Remove Class Annotation,Change Class Access Modifier,Change Return Type,Add Class Modifier,Remove Method Annotation,Rename Method,Add Variable Modifier,Add Class Annotation,Move Method,Replace Pipeline With Loop,Split Conditional,Move Package,Pull Up Method,Encapsulate Attribute,Push Down Method,Modify Class Annotation,Add Method Annotation,Move Class,Add Variable Annotation,Modify Parameter Annotation,Change Method Access Modifier,Add Parameter,Modify Method Annotation,Add Parameter Annotation,Add Method Modifier,Rename Package,Remove Variable Annotation,Remove Parameter Modifier,Add Parameter Modifier,Merge Method,Reorder Parameter
Class-Level Metric – Depth of Inheritance Tree*,,,,,,0.0,,,,0.0,,,,1.3274336283185801,,,,0.0,0.0,,,,,,,,,,0.0,0.0,3.6697247706422,,0.0,0.74074074074074,,,,0.0,,0.33840947546531,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,1.16340560549973,,,,,,,,0.0,,,,,
Class-Level Metric – Fan-Out*,,,,,,50.0,,,,0.0,,,,19.91150442477876,,,,7.9365079365079305,2.2222222222222197,,,,,,,,,,0.0,15.78947368421052,6.422018348623849,,9.18367346938775,8.888888888888879,,,,10.52631578947368,,11.6751269035533,9.18367346938775,8.33333333333333,7.14285714285714,,,,1.40495867768595,,,,0.0,,,,1.5873015873015799,,1.48069804336329,,,,,,,,0.0,,,,,
Class-Level Metric – Fan-In*,,,,,,25.0,,,,30.0,,,,7.9646017699115,,,,7.9365079365079305,13.33333333333333,,,,,,,,,,33.33333333333333,0.0,12.844036697247699,,4.08163265306122,8.14814814814814,,,,18.42105263157894,,1.6920473773265599,0.0,16.66666666666666,0.0,,,,1.07438016528925,,,,30.0,,,,0.70546737213403,,3.75462718138551,,,,,,,,0.0,,,,,
Class-Level Metric – Number of Methods*,,,,,,75.0,,,,60.0,,,,39.38053097345133,,,,28.57142857142857,40.0,,,,,,,,,,0.0,10.52631578947368,8.25688073394495,,12.244897959183671,11.85185185185185,,,,5.26315789473684,,6.768189509306261,3.0612244897959098,8.33333333333333,7.14285714285714,,,,9.17355371900826,,,,0.0,,,,1.41093474426807,,0.31729243786356,,,,,,,,0.0,,,,,
Class-Level Metric – Weighted Methods per Class*,,,,,,75.0,,,,60.0,,,,57.9646017699115,,,,34.92063492063492,40.0,,,,,,,,,,0.0,10.52631578947368,11.92660550458715,,12.244897959183671,10.74074074074074,,,,5.26315789473684,,10.65989847715736,4.08163265306122,8.33333333333333,7.14285714285714,,,,9.00826446280991,,,,0.0,,,,3.35097001763668,,0.58170280274986,,,,,,,,0.0,,,,,
Class-Level Metric – Lines of Code*,,,,,,100.0,,,,70.0,,,,71.23893805309734,,,,55.55555555555556,37.77777777777777,,,,,,,,,,33.33333333333333,26.31578947368421,19.26605504587156,,20.40816326530612,17.407407407407398,,,,10.52631578947368,,17.766497461928928,31.63265306122449,16.66666666666666,14.28571428571428,,,,13.140495867768589,,,,0.0,,,,8.641975308641971,,0.8989952406134301,,,,,,,,0.0,,,,,
Method-Level Metric – Parameter Count*,81.34328358208955,0.0,100.0,0.0,2.32558139534883,38.66666666666666,15.613910574875788,14.664410603496892,0.0,,0.0,0.0,0.0,38.18897637795275,0.0,2.32558139534883,0.0,,,0.0,18.487394957983188,8.1081081081081,11.11111111111111,5.35714285714285,15.2,0.0,3.33333333333333,7.69230769230769,,,,0.0,,,0.0,2.85714285714285,0.0,,0.0,,,0.43321299638988997,,0.36429872495446003,3.46347607052896,0.0,,1.1049723756906,0.0,0.0,,2.32558139534883,5.88235294117647,0.0,,0.26223776223776,,0.0,0.0,0.0,0.28694404591104,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Method-Level Metric – Cyclomatic Complexity*,23.88059701492537,84.61538461538461,0.0,77.77777777777779,72.09302325581395,21.33333333333333,42.08658623136976,38.860688099266774,50.0,,16.66666666666666,0.0,0.0,23.622047244094478,39.130434782608695,39.53488372093023,15.30612244897959,,,20.0,12.605042016806719,10.81081081081081,13.33333333333333,19.64285714285714,10.4,0.0,10.0,5.38461538461538,,,,11.76470588235294,,,2.7027027027027,3.8095238095238098,2.94117647058823,,4.093567251461979,,,3.32129963898917,,2.55009107468123,3.4005037783375296,7.3170731707317,,4.60405156537753,0.0,6.185567010309271,,1.16279069767441,0.0,2.7472527472527397,,2.27272727272727,,1.8181818181818101,1.1111111111111098,0.9111617312072801,1.00430416068866,0.3221649484536,0.5586592178770899,0.0,,0.0,0.0,0.0,0.0,0.0
Method-Level Metric – Lines of Code*,53.98009950248757,73.07692307692307,50.0,71.11111111111111,69.76744186046511,41.33333333333333,59.68772178850248,59.84207557811618,62.5,,91.66666666666666,100.0,100.0,38.582677165354326,56.52173913043478,48.837209302325576,66.3265306122449,,,40.0,24.36974789915966,35.13513513513513,26.66666666666666,25.0,21.6,45.0,30.0,25.384615384615376,,,,17.64705882352941,,,24.32432432432432,20.0,23.52941176470588,,20.46783625730994,,,8.3754512635379,,14.754098360655728,10.76826196473551,9.75609756097561,,10.49723756906077,16.0,9.27835051546391,,9.30232558139534,5.88235294117647,7.69230769230769,,4.8076923076923,,1.8181818181818101,2.2222222222222197,2.27790432801822,1.8651362984218,1.67525773195876,1.39664804469273,1.72413793103448,,0.0,0.0,0.0,0.0,0.0
