label,precision,recall,f1,support,predicted
production_grade,0.9145299145299145,0.8629032258064516,0.8879668049792532,124,117
specialized_project,0.42857142857142855,0.8076923076923077,0.5599999999999999,26,49
toy_or_example,0.8099173553719008,0.8909090909090909,0.8484848484848484,110,121
uncertain,0.9375,0.5084745762711864,0.6593406593406593,59,32
