metric_category,metric_name,median_delta,improvement_rate,unchanged_rate,rank_biserial_effect,wilcoxon_p_value_fdr
implementation_smell,Magic Number,0.0,0.0512820512820512,0.6816239316239316,0.0180243600786236,0.7838842124987938
implementation_smell,Long Statement,0.0,0.0804843304843304,0.6965811965811967,0.0108659643543365,0.8413885421515621
implementation_smell,Complex Method,0.0,0.0142450142450142,0.9109686609686611,-0.0100235024330631,0.7968213109185194
implementation_smell,Long Parameter List,0.0,0.0064102564102564,0.9508547008547009,-0.0066343301162422,0.7968213109185194
implementation_smell,Long Method,0.0,0.0049857549857549,0.9757834757834759,0.003282426732039,0.8413885421515621
implementation_smell,Complex Conditional,0.0,0.0128205128205128,0.9337606837606838,0.0023921133417257,0.9292697729920076
implementation_smell,Missing default,0.0,0.0035612535612535,0.9850427350427352,0.0007545808579401,0.9414226460926138
implementation_smell,Empty catch clause,0.0,0.0092592592592592,0.9608262108262109,-0.0005742176284811,0.9635231332057108
design_smell,Unutilized Abstraction,0.0,0.0484330484330484,0.8098290598290598,0.0202227669927927,0.5567710277619987
design_smell,Insufficient Modularization,0.0,0.0035612535612535,0.9750712250712252,0.0132143672195352,0.0744664531393001
design_smell,Deficient Encapsulation,0.0,0.0049857549857549,0.9750712250712252,0.0071671378195925,0.5653997143896865
design_smell,Cyclic-Dependent Modularization,0.0,0.0064102564102564,0.9700854700854701,0.0041612373653716,0.7968213109185194
design_smell,Broken Hierarchy,0.0,0.0049857549857549,0.9843304843304845,-0.0007136310430884,0.9414226460926138
type_metric,FANOUT,0.0,0.0502024291497975,0.8724696356275305,-0.0267860823293548,0.0389085622518179
type_metric,LOC,0.0,0.1149797570850202,0.7085020242914981,0.0238194755723002,0.3185677216261354
type_metric,DIT,0.0,0.0080971659919028,0.9748987854251013,-0.010194098494861,0.1417313173614621
type_metric,WMC,0.0,0.0769230769230769,0.8089068825910932,0.0038015459274194,0.9206908583370356
type_metric,FANIN,0.0,0.0404858299595141,0.8914979757085021,-0.0023147113889276,0.9246250923617434
type_metric,NOM,0.0,0.0651821862348178,0.8295546558704454,-0.0011494286006661,0.9635231332057108
method_metric,LOC,0.0,0.2640426951300867,0.5352901934623083,-0.0872189448649748,5.04998906852401e-23
method_metric,CC,0.0,0.1579719813208805,0.7527685123415612,-0.0577775733399343,2.166583646821801e-16
method_metric,PC,0.0,0.086057371581054,0.7355570380253503,0.0032178221112466,0.9107414688275868
